2012-03-12 16:02:08: StorageConsistencyCheck[12023]: (re)connecting to database
Got     4234 LFNs in   149 directories
Orphaned file summary:

Final score: 0 files left...

Directory summary:
       SE/TMDB  diff : Directory
       14/249     -235 : /store/mc/Summer09/TTbar_2l/GEN-SIM-RECO/MC_31X_V3_7TeV-v1
          1/4       -3 : /store/mc/Summer09/WWtoTauPlusMuMinus-mcatnlo/AODSIM/MC_31X_V3_AODSIM-v2
         9/24      -15 : /store/mc/Summer09/WWtoTauPlusMuMinus-mcatnlo/GEN-SIM-RAW/MC_31X_V3-v2
         4/11       -7 : /store/mc/Summer09/WWtoTauPlusMuMinus-mcatnlo/GEN-SIM-RECO/MC_31X_V3-v2
          3/9       -6 : /store/mc/Summer09/Wgg-madgraph/AODSIM/MC_31X_V3_7TeV_AODSIM-v2
        20/58      -38 : /store/mc/Summer09/Wgg-madgraph/GEN-SIM-RAW/MC_31X_V3_7TeV-v2
         9/26      -17 : /store/mc/Summer09/Wgg-madgraph/GEN-SIM-RECO/MC_31X_V3_7TeV-v2
         6/24      -18 : /store/mc/Summer09/Z0Jets_Pt0to100-alpgen/AODSIM/MC_31X_V3_7TeV_preproduction_AODSIM-v2
       68/295     -227 : /store/mc/Summer09/Z0Jets_Pt0to100-alpgen/GEN-SIM-RAW/MC_31X_V3_7TeV_preproduction-v2
       45/193     -148 : /store/mc/Summer09/Z0Jets_Pt0to100-alpgen/GEN-SIM-RECO/MC_31X_V3_7TeV_preproduction-v2
          3/7       -4 : /store/mc/Summer09/Z1Jets_Pt800to1600-alpgen/AODSIM/MC_31X_V3_7TeV_AODSIM-v1
         3/22      -19 : /store/mc/Summer09/Z1Jets_Pt800to1600-alpgen/GEN-SIM-RAW/MC_31X_V3_7TeV-v1
         3/12       -9 : /store/mc/Summer09/Z1Jets_Pt800to1600-alpgen/GEN-SIM-RECO/MC_31X_V3_7TeV-v1
         2/44      -42 : /store/mc/Summer09/Z2Jets_Pt100to300-alpgen/GEN-SIM-RAW/MC_31X_V3_7TeV_preproduction-v2
         1/27      -26 : /store/mc/Summer09/Z2Jets_Pt100to300-alpgen/GEN-SIM-RECO/MC_31X_V3_7TeV_preproduction-v2
          1/2       -1 : /store/mc/Summer09/Z2Jets_Pt800to1600-alpgen/AODSIM/MC_31X_V3_7TeV_AODSIM-v1
          2/8       -6 : /store/mc/Summer09/Z2Jets_Pt800to1600-alpgen/GEN-SIM-RAW/MC_31X_V3_7TeV-v1
          1/3       -2 : /store/mc/Summer09/Z2Jets_Pt800to1600-alpgen/GEN-SIM-RECO/MC_31X_V3_7TeV-v1
          1/7       -6 : /store/mc/Summer09/Z3Jets_Pt100to300-alpgen/AODSIM/MC_31X_V3_7TeV_AODSIM-v1
         1/14      -13 : /store/mc/Summer09/Z3Jets_Pt100to300-alpgen/GEN-SIM-RECO/MC_31X_V3_7TeV-v1
          1/6       -5 : /store/mc/Summer09/Z3Jets_Pt300to800-alpgen/AODSIM/MC_31X_V3_7TeV_preproduction_AODSIM-v2
         8/46      -38 : /store/mc/Summer09/Z3Jets_Pt300to800-alpgen/GEN-SIM-RAW/MC_31X_V3_7TeV_preproduction-v2
